Category,Item,Item With Emoji
Paper & Plastic,Paper Plates,🍽️ Paper Plates
Paper & Plastic,Paper Napkins,🧻 Paper Napkins
Paper & Plastic,Aluminum Foil,📦 Aluminum Foil
Paper & Plastic,Plastic Wrap,🧴 Plastic Wrap
Paper & Plastic,Storage Bags,👜 Storage Bags
Paper & Plastic,Garbage Bags,🗑️ Garbage Bags
Household Essentials,Light Bulbs,💡 Light Bulbs
Household Essentials,Batteries,🔋 Batteries
Household Essentials,Air Freshener,🌬️ Air Freshener
Household Essentials,Matches,🔥 Matches
Household Essentials,Candles,🕯️ Candles
Household Essentials,Storage Containers,📦 Storage Containers
Household Essentials,Tape,📎 Tape
Household Essentials,Scissors,✂️ Scissors
Personal Care,Shampoo,🧴 Shampoo
Personal Care,Conditioner,🧴 Conditioner
Personal Care,Body Wash,🚿 Body Wash
Personal Care,Hand Soap,🧼 Hand Soap
Personal Care,Toothpaste,🪥 Toothpaste
Personal Care,Toothbrush,🪥 Toothbrush
Personal Care,Deodorant,🧴 Deodorant
Personal Care,Facial Tissues,🤧 Facial Tissues
Personal Care,Cotton Swabs,🧽 Cotton Swabs
Personal Care,Band-Aids,🩹 Band-Aids
Personal Care,Hand Lotion,🧴 Hand Lotion
Personal Care,Sunscreen,🌞 Sunscreen
Pet Supplies,Dog Food,🐶 Dog Food
Pet Supplies,Cat Food,🐱 Cat Food
Pet Supplies,Pet Treats,🍖 Pet Treats
Pet Supplies,Cat Litter,🚽 Cat Litter
Pet Supplies,Pet Toys,🧸 Pet Toys
Pet Supplies,Pet Shampoo,🧴 Pet Shampoo
Pet Supplies,Pet Brush,🪮 Pet Brush
Pet Supplies,Pet Waste Bags,🗑️ Pet Waste Bags
Baby Items,Diapers,🍼 Diapers
Baby Items,Baby Wipes,👶 Baby Wipes
Baby Items,Baby Formula,🍼 Baby Formula
Baby Items,Baby Food,🥣 Baby Food
Baby Items,Baby Shampoo,🧴 Baby Shampoo
Baby Items,Baby Lotion,🧴 Baby Lotion
Baby Items,Baby Powder,🧴 Baby Powder
Baby Items,Diaper Rash Cream,🧴 Diaper Rash Cream
